,REGIONID,INTERVAL_DATETIME,OPERATIONAL_DEMAND_POE10,OPERATIONAL_DEMAND_POE50,OPERATIONAL_DEMAND_POE90
425,QLD1,2021-06-14 04:00:00,5419,5327,5233
850,SA1,2021-06-14 04:00:00,1240,1183,1126
1275,TAS1,2021-06-14 04:00:00,1079,1064,1048
1700,VIC1,2021-06-14 04:00:00,4102,4007,3911
0,NSW1,2021-06-14 04:30:00,6955,6841,6726
424,QLD1,2021-06-14 04:30:00,5518,5424,5329
848,SA1,2021-06-14 04:30:00,1216,1160,1105
1272,TAS1,2021-06-14 04:30:00,1087,1072,1056
1696,VIC1,2021-06-14 04:30:00,4053,3958,3864
0,NSW1,2021-06-14 05:00:00,7028,6912,6796
423,QLD1,2021-06-14 05:00:00,5649,5552,5456
846,SA1,2021-06-14 05:00:00,1212,1156,1101
1269,TAS1,2021-06-14 05:00:00,1096,1080,1065
1692,VIC1,2021-06-14 05:00:00,4067,3973,3878
0,NSW1,2021-06-14 05:30:00,7175,7057,6938
422,QLD1,2021-06-14 05:30:00,5927,5825,5724
844,SA1,2021-06-14 05:30:00,1203,1148,1093
1266,TAS1,2021-06-14 05:30:00,1106,1089,1074
1688,VIC1,2021-06-14 05:30:00,4153,4056,3960
0,NSW1,2021-06-14 06:00:00,7363,7241,7120
421,QLD1,2021-06-14 06:00:00,6261,6154,6046
842,SA1,2021-06-14 06:00:00,1204,1149,1093
1263,TAS1,2021-06-14 06:00:00,1117,1100,1084
1684,VIC1,2021-06-14 06:00:00,4195,4097,4000
0,NSW1,2021-06-14 06:30:00,7719,7592,7465
420,QLD1,2021-06-14 06:30:00,6743,6627,6512
840,SA1,2021-06-14 06:30:00,1210,1155,1099
1260,TAS1,2021-06-14 06:30:00,1149,1131,1114
1680,VIC1,2021-06-14 06:30:00,4440,4337,4234
0,NSW1,2021-06-14 07:00:00,8011,7879,7747
419,QLD1,2021-06-14 07:00:00,7325,7200,7074
838,SA1,2021-06-14 07:00:00,1220,1164,1108
1257,TAS1,2021-06-14 07:00:00,1176,1157,1138
1676,VIC1,2021-06-14 07:00:00,4541,4435,4329
0,NSW1,2021-06-14 07:30:00,8370,8232,8094
418,QLD1,2021-06-14 07:30:00,7563,7434,7305
836,SA1,2021-06-14 07:30:00,1321,1260,1200
1254,TAS1,2021-06-14 07:30:00,1193,1173,1153
1672,VIC1,2021-06-14 07:30:00,4757,4646,4536
0,NSW1,2021-06-14 08:00:00,8556,8415,8274
417,QLD1,2021-06-14 08:00:00,7497,7370,7241
834,SA1,2021-06-14 08:00:00,1314,1254,1193
1251,TAS1,2021-06-14 08:00:00,1230,1209,1188
1668,VIC1,2021-06-14 08:00:00,4937,4818,4699
0,NSW1,2021-06-14 08:30:00,8756,8612,8467
416,QLD1,2021-06-14 08:30:00,7337,7211,7086
832,SA1,2021-06-14 08:30:00,1386,1323,1259
1248,TAS1,2021-06-14 08:30:00,1250,1228,1205
1664,VIC1,2021-06-14 08:30:00,5151,5026,4902
0,NSW1,2021-06-14 09:00:00,8889,8743,8596
415,QLD1,2021-06-14 09:00:00,7024,6905,6783
830,SA1,2021-06-14 09:00:00,1418,1352,1287
1245,TAS1,2021-06-14 09:00:00,1305,1281,1258
1660,VIC1,2021-06-14 09:00:00,5277,5149,5022
0,NSW1,2021-06-14 09:30:00,8981,8833,8685
414,QLD1,2021-06-14 09:30:00,6754,6639,6523
828,SA1,2021-06-14 09:30:00,1398,1334,1270
1242,TAS1,2021-06-14 09:30:00,1328,1304,1279
1656,VIC1,2021-06-14 09:30:00,5284,5157,5029
0,NSW1,2021-06-14 10:00:00,8862,8716,8570
413,QLD1,2021-06-14 10:00:00,6394,6285,6175
826,SA1,2021-06-14 10:00:00,1357,1295,1233
1239,TAS1,2021-06-14 10:00:00,1347,1323,1298
1652,VIC1,2021-06-14 10:00:00,5196,5066,4936
0,NSW1,2021-06-14 10:30:00,8508,8368,8227
412,QLD1,2021-06-14 10:30:00,5895,5794,5693
824,SA1,2021-06-14 10:30:00,1343,1281,1219
1236,TAS1,2021-06-14 10:30:00,1350,1326,1302
1648,VIC1,2021-06-14 10:30:00,5061,4934,4808
0,NSW1,2021-06-14 11:00:00,8064,7931,7798
411,QLD1,2021-06-14 11:00:00,5598,5503,5407
822,SA1,2021-06-14 11:00:00,1308,1248,1188
1233,TAS1,2021-06-14 11:00:00,1331,1307,1283
1644,VIC1,2021-06-14 11:00:00,4982,4857,4732
0,NSW1,2021-06-14 11:30:00,7701,7574,7447
410,QLD1,2021-06-14 11:30:00,5419,5327,5234
820,SA1,2021-06-14 11:30:00,1212,1156,1101
1230,TAS1,2021-06-14 11:30:00,1307,1283,1260
1640,VIC1,2021-06-14 11:30:00,4835,4714,4593
0,NSW1,2021-06-14 12:00:00,7411,7289,7166
409,QLD1,2021-06-14 12:00:00,5341,5249,5158
818,SA1,2021-06-14 12:00:00,1124,1072,1020
1227,TAS1,2021-06-14 12:00:00,1279,1256,1232
1636,VIC1,2021-06-14 12:00:00,4864,4743,4621
0,NSW1,2021-06-14 12:30:00,7273,7153,7033
408,QLD1,2021-06-14 12:30:00,5309,5219,5127
816,SA1,2021-06-14 12:30:00,1027,980,933
1224,TAS1,2021-06-14 12:30:00,1255,1233,1210
1632,VIC1,2021-06-14 12:30:00,4710,4592,4474
0,NSW1,2021-06-14 13:00:00,7243,7123,7004
407,QLD1,2021-06-14 13:00:00,5369,5277,5186
814,SA1,2021-06-14 13:00:00,949,905,862
1221,TAS1,2021-06-14 13:00:00,1297,1274,1252
1628,VIC1,2021-06-14 13:00:00,4790,4670,4550
0,NSW1,2021-06-14 13:30:00,7240,7120,7001
406,QLD1,2021-06-14 13:30:00,5384,5291,5200
812,SA1,2021-06-14 13:30:00,981,936,891
1218,TAS1,2021-06-14 13:30:00,1272,1250,1228
1624,VIC1,2021-06-14 13:30:00,4862,4741,4619
0,NSW1,2021-06-14 14:00:00,7410,7288,7166
405,QLD1,2021-06-14 14:00:00,5516,5422,5327
810,SA1,2021-06-14 14:00:00,924,882,839
1215,TAS1,2021-06-14 14:00:00,1280,1258,1236
1620,VIC1,2021-06-14 14:00:00,4860,4738,4616
0,NSW1,2021-06-14 14:30:00,7611,7485,7360
404,QLD1,2021-06-14 14:30:00,5671,5574,5476
808,SA1,2021-06-14 14:30:00,1039,991,944
1212,TAS1,2021-06-14 14:30:00,1233,1212,1191
1616,VIC1,2021-06-14 14:30:00,4914,4791,4668
0,NSW1,2021-06-14 15:00:00,7787,7659,7531
403,QLD1,2021-06-14 15:00:00,5875,5775,5675
806,SA1,2021-06-14 15:00:00,1150,1097,1044
1209,TAS1,2021-06-14 15:00:00,1273,1252,1229
1612,VIC1,2021-06-14 15:00:00,4879,4757,4635
0,NSW1,2021-06-14 15:30:00,8128,7994,7860
402,QLD1,2021-06-14 15:30:00,6080,5977,5873
804,SA1,2021-06-14 15:30:00,1218,1162,1106
1206,TAS1,2021-06-14 15:30:00,1319,1297,1274
1608,VIC1,2021-06-14 15:30:00,4971,4847,4722
0,NSW1,2021-06-14 16:00:00,8492,8352,8212
401,QLD1,2021-06-14 16:00:00,6421,6311,6202
802,SA1,2021-06-14 16:00:00,1263,1205,1147
1203,TAS1,2021-06-14 16:00:00,1337,1313,1289
1604,VIC1,2021-06-14 16:00:00,5296,5163,5031
0,NSW1,2021-06-14 16:30:00,9025,8876,8728
400,QLD1,2021-06-14 16:30:00,6755,6641,6525
800,SA1,2021-06-14 16:30:00,1370,1307,1244
1200,TAS1,2021-06-14 16:30:00,1353,1328,1303
1600,VIC1,2021-06-14 16:30:00,5492,5355,5218
0,NSW1,2021-06-14 17:00:00,9697,9538,9378
399,QLD1,2021-06-14 17:00:00,7263,7140,7014
798,SA1,2021-06-14 17:00:00,1532,1462,1391
1197,TAS1,2021-06-14 17:00:00,1410,1384,1357
1596,VIC1,2021-06-14 17:00:00,5911,5763,5615
0,NSW1,2021-06-14 17:30:00,10431,10259,10087
398,QLD1,2021-06-14 17:30:00,7498,7370,7241
796,SA1,2021-06-14 17:30:00,1608,1534,1460
1194,TAS1,2021-06-14 17:30:00,1431,1402,1374
1592,VIC1,2021-06-14 17:30:00,6312,6154,5996
0,NSW1,2021-06-14 18:00:00,10885,10706,10526
397,QLD1,2021-06-14 18:00:00,7741,7609,7476
794,SA1,2021-06-14 18:00:00,1704,1625,1547
1191,TAS1,2021-06-14 18:00:00,1458,1430,1401
1588,VIC1,2021-06-14 18:00:00,6541,6378,6214
0,NSW1,2021-06-14 18:30:00,10867,10688,10509
396,QLD1,2021-06-14 18:30:00,7696,7564,7433
792,SA1,2021-06-14 18:30:00,1815,1731,1648
1188,TAS1,2021-06-14 18:30:00,1472,1443,1414
1584,VIC1,2021-06-14 18:30:00,6648,6482,6316
0,NSW1,2021-06-14 19:00:00,10689,10513,10336
395,QLD1,2021-06-14 19:00:00,7631,7500,7370
790,SA1,2021-06-14 19:00:00,1904,1817,1729
1185,TAS1,2021-06-14 19:00:00,1422,1395,1367
1580,VIC1,2021-06-14 19:00:00,6504,6341,6179
0,NSW1,2021-06-14 19:30:00,10511,10338,10165
394,QLD1,2021-06-14 19:30:00,7449,7321,7193
788,SA1,2021-06-14 19:30:00,1815,1732,1649
1182,TAS1,2021-06-14 19:30:00,1404,1377,1351
1576,VIC1,2021-06-14 19:30:00,6367,6208,6049
0,NSW1,2021-06-14 20:00:00,10461,10289,10116
393,QLD1,2021-06-14 20:00:00,7409,7283,7155
786,SA1,2021-06-14 20:00:00,1765,1684,1603
1179,TAS1,2021-06-14 20:00:00,1391,1365,1338
1572,VIC1,2021-06-14 20:00:00,6255,6098,5942
0,NSW1,2021-06-14 20:30:00,10138,9971,9804
392,QLD1,2021-06-14 20:30:00,7373,7248,7121
784,SA1,2021-06-14 20:30:00,1771,1689,1608
1176,TAS1,2021-06-14 20:30:00,1365,1340,1315
1568,VIC1,2021-06-14 20:30:00,6115,5962,5809
0,NSW1,2021-06-14 21:00:00,9968,9803,9639
391,QLD1,2021-06-14 21:00:00,7213,7090,6966
782,SA1,2021-06-14 21:00:00,1704,1625,1547
1173,TAS1,2021-06-14 21:00:00,1350,1325,1301
1564,VIC1,2021-06-14 21:00:00,5959,5810,5660
0,NSW1,2021-06-14 21:30:00,9718,9558,9398
390,QLD1,2021-06-14 21:30:00,7189,7066,6943
780,SA1,2021-06-14 21:30:00,1657,1581,1505
1170,TAS1,2021-06-14 21:30:00,1334,1310,1286
1560,VIC1,2021-06-14 21:30:00,5768,5624,5479
0,NSW1,2021-06-14 22:00:00,9357,9203,9048
389,QLD1,2021-06-14 22:00:00,6913,6795,6677
778,SA1,2021-06-14 22:00:00,1607,1533,1459
1167,TAS1,2021-06-14 22:00:00,1287,1265,1243
1556,VIC1,2021-06-14 22:00:00,5601,5461,5320
0,NSW1,2021-06-14 22:30:00,9130,8980,8829
388,QLD1,2021-06-14 22:30:00,6626,6512,6398
776,SA1,2021-06-14 22:30:00,1554,1482,1411
1164,TAS1,2021-06-14 22:30:00,1261,1241,1219
1552,VIC1,2021-06-14 22:30:00,5324,5191,5057
0,NSW1,2021-06-14 23:00:00,8831,8686,8540
387,QLD1,2021-06-14 23:00:00,6462,6352,6241
774,SA1,2021-06-14 23:00:00,1492,1423,1355
1161,TAS1,2021-06-14 23:00:00,1209,1189,1170
1548,VIC1,2021-06-14 23:00:00,5214,5084,4953
0,NSW1,2021-06-14 23:30:00,8706,8562,8419
386,QLD1,2021-06-14 23:30:00,6234,6128,6021
772,SA1,2021-06-14 23:30:00,1443,1376,1310
1158,TAS1,2021-06-14 23:30:00,1185,1167,1148
1544,VIC1,2021-06-14 23:30:00,5305,5172,5040
