,REGIONID,DATETIME,RRPEEP1,RRPEEP2,RRPEEP3,RRPEEP4,RRPEEP5,RRPEEP6,RRPEEP7,RRPEEP8,RRPEEP9,RRPEEP10,RRPEEP11,RRPEEP12,RRPEEP13,RRPEEP14,RRPEEP15,RRPEEP16,RRPEEP17,RRPEEP18,RRPEEP19,RRPEEP20,RRPEEP25,RRPEEP26,RRPEEP27,RRPEEP28,RRPEEP29,RRPEEP30,RRPEEP31,RRPEEP32,RRPEEP33,RRPEEP34,RRPEEP35,RRPEEP36,RRPEEP37,RRPEEP38,RRPEEP39,RRPEEP40,RRPEEP41,RRPEEP42,RRPEEP43
4,VIC1,2021/06/14 02:00:00,71.76,61.99,83.89,61.99,123.98951,42.0,128.86934,71.76,61.99,80.8052,60.50783,92.92113,43.89425,184.25784,71.74666,61.99,71.76,61.99,80.35634,61.50658,88.80535,46.29513,174.32,40.99405,71.76,61.99,83.89,61.99,93.44011,45.07018,93.44011,67.0,67.0,67.0,67.0,67.0,67.0,71.76,92.42122
0,NSW1,2021/06/14 02:30:00,128.15761,100.54655,136.27795,91.31395,206.07382,43.41177,299.6,124.52787,100.54655,124.52787,96.32463,187.15001,47.95647,299.6,124.52787,101.30053,124.52787,100.54655,124.52787,99.95896,196.33016,52.36967,299.6,43.09,128.15761,102.05939,136.27795,91.33485,204.07753,43.41177,299.6,118.13704,118.13699,118.13704,118.13699,118.13704,118.13699,124.52787,187.15001
1,QLD1,2021/06/14 02:30:00,126.48831,100.73002,134.50288,92.16731,198.8951,44.14675,280.70119,122.90584,100.73002,122.90584,97.22482,181.9797,48.76839,280.70119,122.90584,100.73002,122.90584,100.73002,122.90584,100.73002,192.33352,52.46524,291.32309,42.21283,129.35528,100.73002,140.67948,88.74774,213.85998,40.07526,1000.01,116.59826,116.59821,116.59826,116.59821,116.59826,116.59821,122.90584,181.9797
2,SA1,2021/06/14 02:30:00,112.58995,92.41384,117.44,87.42,168.02355,42.99069,241.90833,112.58995,90.66246,112.58995,87.44,168.02355,42.99069,276.35565,114.45543,90.71821,115.70791,87.71952,118.23431,86.72405,170.83019,49.12675,250.67606,40.91577,112.58995,93.80432,117.44,87.44,168.02355,42.99069,241.90833,107.40004,107.39999,107.40004,107.39999,107.40004,107.39999,112.58995,196.18576
3,TAS1,2021/06/14 02:30:00,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,53.85722,27.34,55.29752,27.34,55.3,27.34,103.24665,27.34
4,VIC1,2021/06/14 02:30:00,114.89,92.76472,119.83913,85.86729,174.32,42.0,250.9735,114.89,91.00668,114.89,86.35256,174.32,42.0,298.17168,114.89,92.57145,114.89,91.00668,114.89,90.47485,174.32,48.77949,260.92634,41.29611,114.89,94.16048,119.83913,85.88694,174.32,42.0,250.9735,108.9938,108.99375,108.9938,108.99375,108.9938,108.99375,114.89,174.32
0,NSW1,2021/06/14 03:00:00,129.24785,99.8755,146.01581,81.54438,207.85244,50.39003,299.6,126.78842,99.8755,126.78842,96.11676,188.72835,67.29003,299.6,126.78842,100.62516,126.78842,100.62516,126.78842,99.8755,199.92636,65.70868,299.6,43.09,129.24785,101.79641,144.4515,85.27551,205.83446,58.45439,299.6,106.29617,106.29617,106.29617,106.29617,124.34101,106.29617,126.78842,193.83745
1,QLD1,2021/06/14 03:00:00,128.41964,100.73002,145.08015,82.86003,199.84,51.58821,280.4837,125.97598,100.73002,125.97598,96.93912,184.74246,68.89005,280.4837,125.97598,100.73002,125.97598,100.73002,125.97598,100.73002,197.1684,65.77715,291.09639,42.49558,130.35367,100.73002,149.0,82.86003,217.16046,53.92,1000.01,105.61503,105.61503,105.61503,105.61503,123.54424,105.61503,125.97598,189.74365
2,SA1,2021/06/14 03:00:00,113.21751,89.93002,124.9023,76.68588,170.84151,49.22424,241.18066,113.21751,88.81874,113.21751,86.99,170.84151,59.73642,278.1455,115.08834,88.94892,117.44,87.44,120.15583,85.10571,173.67207,60.79696,252.15516,39.97522,113.21751,91.39981,123.56419,80.19471,170.84151,57.10202,241.18066,95.44,95.44,95.44,95.44,111.03205,95.44,113.21751,204.64219
3,TAS1,2021/06/14 03:00:00,54.7702,54.7702,54.7702,54.7702,54.7702,43.22352,55.25486,54.7702,54.7702,54.7702,54.7702,54.7702,52.45619,55.25486,54.7702,54.7702,54.7702,54.7702,54.7702,54.7702,54.7702,53.85722,55.15372,36.26553,54.7702,54.7702,54.7702,54.7702,54.7702,50.14245,55.25486,55.3,53.45351,55.34,27.34,99.74269,27.34,104.56653,54.7702
