,REGIONID,INTERVAL_DATETIME,OPERATIONAL_DEMAND_POE10,OPERATIONAL_DEMAND_POE50,OPERATIONAL_DEMAND_POE90
1206,TAS1,2021-01-22 15:30:00,1118,1102,1085
1608,VIC1,2021-01-22 15:30:00,5520,5404,5288
0,NSW1,2021-01-22 16:00:00,10973,10777,10581
401,QLD1,2021-01-22 16:00:00,6977,6876,6776
802,SA1,2021-01-22 16:00:00,1368,1313,1258
1203,TAS1,2021-01-22 16:00:00,1138,1122,1104
1604,VIC1,2021-01-22 16:00:00,5679,5560,5441
0,NSW1,2021-01-22 16:30:00,10885,10691,10496
400,QLD1,2021-01-22 16:30:00,7110,7007,6905
800,SA1,2021-01-22 16:30:00,1499,1439,1379
1200,TAS1,2021-01-22 16:30:00,1155,1137,1119
1600,VIC1,2021-01-22 16:30:00,5814,5692,5570
0,NSW1,2021-01-22 17:00:00,11100,10902,10704
399,QLD1,2021-01-22 17:00:00,7372,7265,7159
798,SA1,2021-01-22 17:00:00,1601,1537,1473
1197,TAS1,2021-01-22 17:00:00,1159,1140,1122
1596,VIC1,2021-01-22 17:00:00,6159,6030,5901
0,NSW1,2021-01-22 17:30:00,11070,10872,10675
398,QLD1,2021-01-22 17:30:00,7310,7205,7100
796,SA1,2021-01-22 17:30:00,1720,1651,1582
1194,TAS1,2021-01-22 17:30:00,1187,1167,1149
1592,VIC1,2021-01-22 17:30:00,6116,5988,5859
0,NSW1,2021-01-22 18:00:00,11204,11004,10804
397,QLD1,2021-01-22 18:00:00,7490,7383,7275
794,SA1,2021-01-22 18:00:00,1841,1767,1693
1191,TAS1,2021-01-22 18:00:00,1205,1186,1166
1588,VIC1,2021-01-22 18:00:00,6121,5992,5864
0,NSW1,2021-01-22 18:30:00,10945,10750,10554
396,QLD1,2021-01-22 18:30:00,7508,7399,7293
792,SA1,2021-01-22 18:30:00,1958,1880,1801
1188,TAS1,2021-01-22 18:30:00,1209,1189,1170
1584,VIC1,2021-01-22 18:30:00,6128,5999,5870
